hour,day_of_week,traffic_density,rainfall,visibility,speed_avg,junction_score,accident_risk
14,3,69,83,32,33,9,1
7,2,15,37,61,58,7,1
13,4,28,59,75,35,7,1
22,6,36,0,66,37,4,1
7,2,10,4,66,114,5,1
20,4,42,62,88,94,6,1
15,1,49,98,61,39,2,0
12,2,41,35,44,65,4,0
17,4,78,64,83,64,4,0
14,2,26,77,23,23,4,0
20,2,17,72,23,103,7,1
23,6,66,93,42,114,7,0
12,6,51,23,61,39,7,0
8,4,18,3,10,30,7,0
14,4,96,77,43,84,2,1
12,0,44,88,28,37,5,1
0,2,80,67,33,58,2,0
6,3,88,24,13,63,5,1
8,2,62,73,45,116,6,0
23,2,63,98,86,119,3,1
0,4,93,6,67,37,6,0
11,2,34,12,41,66,5,1
7,5,76,67,18,50,4,0
23,2,71,42,89,118,9,0
10,5,64,56,76,58,8,1
18,6,55,35,29,57,7,1
16,3,33,13,83,98,1,1
7,4,55,81,71,66,9,1
2,2,31,71,67,89,9,0
2,5,20,95,31,27,6,0
0,5,57,26,76,105,7,0
4,6,17,36,84,84,3,0
9,5,48,86,98,32,5,0
6,1,44,70,57,74,7,0
8,0,58,75,17,107,1,0
6,3,55,24,82,104,1,0
8,6,47,66,24,62,5,1
7,6,17,89,41,23,9,0
11,2,63,3,62,90,7,1
1,1,46,99,76,79,1,1
0,2,49,78,13,31,5,1
15,2,43,95,39,78,8,1
22,4,88,92,22,96,8,0
22,4,26,73,30,73,2,1
23,4,42,84,50,63,7,0
4,1,56,15,28,35,5,0
2,2,61,18,57,25,9,1
11,0,89,28,95,33,3,0
7,3,18,50,72,77,1,0
21,4,42,17,29,50,4,1
2,4,69,57,73,119,7,1
0,6,86,43,46,60,1,0
2,2,30,15,40,54,2,0
4,2,67,64,83,29,5,0
14,1,94,1,27,100,9,0
13,1,78,55,29,49,1,1
2,4,19,78,91,63,4,1
0,2,15,27,20,74,3,1
4,0,22,64,95,90,5,1
22,3,74,4,53,37,5,0
13,2,29,21,91,102,2,1
6,6,66,99,73,98,5,0
8,2,55,12,43,105,9,0
14,5,17,64,96,58,5,1
14,1,19,15,74,61,2,0
9,6,82,85,64,73,7,0
12,3,76,63,83,49,6,0
18,4,20,31,10,39,7,1
6,6,21,79,47,115,8,0
16,2,19,50,18,61,5,0
19,4,34,78,80,108,2,0
3,2,58,57,26,106,7,0
4,4,58,45,61,24,7,1
22,3,98,51,27,69,8,1
6,1,20,62,72,60,7,0
12,3,71,75,42,113,7,0
14,5,45,59,13,58,9,0
10,0,48,64,96,76,8,1
3,1,62,80,84,110,2,1
12,3,99,54,61,76,2,0
6,5,87,56,18,56,7,0
18,0,65,91,73,26,3,1
21,5,10,70,39,24,1,0
1,2,65,72,17,98,9,1
9,2,13,85,14,70,3,0
12,4,39,25,85,27,1,0
20,1,21,11,72,75,6,0
5,2,44,70,10,92,4,0
11,6,86,45,24,30,1,1
11,5,61,46,98,41,4,1
19,1,40,78,91,117,8,1
10,6,96,37,47,118,7,0
22,2,77,20,51,96,1,0
6,4,61,13,55,30,9,1
0,3,89,1,62,79,6,1
0,4,16,71,35,115,2,0
19,6,31,69,70,34,3,1
12,0,84,32,76,57,7,0
8,2,65,5,63,20,3,1
2,6,67,89,31,65,3,0
6,0,73,36,35,107,5,0
5,0,21,13,92,62,3,1
7,5,16,36,69,41,3,1
8,1,64,7,48,22,5,0
4,5,71,76,45,33,5,0
0,2,99,12,30,21,9,1
18,0,82,39,50,80,1,0
9,6,86,91,57,51,1,1
11,3,64,57,35,57,9,0
23,0,45,17,72,116,5,1
14,6,98,56,86,65,4,0
21,3,33,82,45,61,2,0
23,5,53,37,33,25,9,0
8,5,26,31,99,60,6,0
19,1,11,85,30,44,9,0
16,6,22,65,27,117,5,0
16,0,40,76,24,30,4,0
19,4,37,86,88,60,7,1
11,5,69,24,15,90,5,1
6,5,36,91,52,76,8,0
1,1,24,57,40,65,8,1
2,3,88,74,37,105,2,1
16,1,42,32,17,67,5,0
4,0,29,87,38,82,8,1
16,6,51,65,30,58,3,0
23,2,21,29,90,29,7,1
16,2,82,80,97,104,3,1
16,6,32,33,67,89,6,1
1,3,81,85,69,84,2,0
1,5,23,68,59,117,6,1
21,3,34,47,40,78,6,0
22,5,86,39,56,97,8,0
4,5,94,50,43,55,5,1
0,2,40,79,11,46,1,0
0,3,63,12,76,92,8,0
18,1,14,89,81,74,9,1
1,5,22,30,61,89,1,0
20,4,37,38,16,114,5,1
11,4,52,62,85,100,6,1
5,1,98,47,28,72,4,0
22,4,56,86,99,79,2,1
3,0,80,47,24,80,5,1
22,5,47,60,87,55,4,0
10,1,76,11,57,104,7,0
23,3,71,77,23,46,6,0
16,5,48,55,12,60,3,0
5,1,46,17,59,47,9,1
23,2,95,26,63,35,4,1
4,3,17,27,15,54,5,1
19,2,90,81,58,55,3,1
1,5,61,79,32,75,8,1
5,3,42,51,87,118,7,0
21,4,90,15,87,38,7,1
10,1,51,76,29,76,8,1
15,5,85,57,86,104,7,1
15,0,36,92,69,52,3,1
0,3,17,8,54,42,3,0
8,3,32,25,70,82,2,0
5,6,73,27,65,89,1,0
15,5,29,76,11,115,5,1
2,5,25,35,54,41,4,1
19,2,26,8,49,86,2,1
3,6,89,46,33,118,1,0
18,4,28,77,38,99,3,1
2,2,17,50,76,78,6,0
18,6,47,75,77,44,2,1
19,2,47,56,75,36,7,0
6,4,62,31,93,58,7,0
19,6,99,66,63,96,3,1
8,6,40,56,62,111,1,1
0,0,53,53,88,94,9,0
7,2,69,15,58,93,5,0
6,2,85,61,41,58,2,0
17,3,26,83,70,43,8,0
7,4,88,95,51,57,4,0
0,1,82,55,10,107,7,1
10,0,48,22,72,116,5,0
17,6,51,16,44,100,3,1
22,6,57,79,60,76,8,1
9,6,21,37,80,63,2,1
2,0,98,71,54,55,1,1
6,6,27,82,86,118,5,1
15,6,88,29,74,89,4,0
15,4,15,57,23,99,7,1
19,5,52,97,12,64,9,0
16,5,44,77,33,111,6,1
1,3,63,21,74,115,1,0
0,3,71,16,57,45,8,1
15,6,78,14,19,30,2,0
11,4,91,47,22,71,4,0
4,6,25,31,82,44,3,0
4,3,17,76,23,50,6,1
22,0,98,84,19,104,2,0
8,0,99,39,49,64,5,1
8,1,95,96,32,86,9,1
2,5,40,56,64,95,3,0
18,4,19,57,72,59,2,1
15,2,65,90,80,65,2,1
15,5,85,98,51,73,9,1
2,2,79,15,75,60,6,1
19,1,29,27,88,108,2,0
23,1,14,97,82,100,3,1
21,6,32,0,56,57,1,0
23,3,18,40,90,119,2,1
0,1,67,47,61,55,2,0
23,1,68,30,27,102,2,0
19,2,89,35,88,63,7,1
10,3,63,32,27,76,3,1
16,1,55,32,33,85,4,1
7,5,31,81,32,100,2,1
3,1,73,22,21,49,5,1
5,3,17,59,32,29,9,0
7,6,29,86,30,118,9,0
19,4,60,78,73,80,7,0
2,3,87,89,99,82,8,1
15,2,48,29,81,55,5,1
2,4,46,88,43,73,5,1
17,5,59,44,11,116,3,0
13,0,43,79,78,84,6,1
17,3,84,38,40,101,1,0
1,6,42,44,77,23,3,0
21,2,40,77,79,74,2,1
2,5,63,80,96,73,7,0
15,4,53,11,28,110,9,0
8,5,43,92,81,108,4,0
3,3,80,31,22,83,7,1
0,1,71,55,74,111,8,0
3,6,32,23,15,41,2,1
0,3,55,12,80,44,7,1
13,0,65,19,36,100,3,0
20,3,16,78,88,78,8,1
15,4,98,55,61,76,6,0
19,4,70,52,96,73,3,1
23,3,12,67,57,63,8,1
7,4,47,53,97,71,3,1
6,1,93,33,88,95,9,1
2,5,43,27,77,35,3,1
16,3,53,49,53,35,1,1
0,6,39,1,26,100,2,1
15,1,26,93,47,74,4,0
11,5,68,25,19,80,2,0
18,6,19,50,63,114,4,0
21,6,93,46,15,98,4,1
22,6,27,25,15,96,4,0
21,5,54,83,61,59,1,1
13,1,68,91,24,110,9,1
5,6,71,83,77,40,7,1
5,6,68,74,66,85,2,1
12,2,58,73,65,27,3,1
18,3,72,60,16,90,8,1
21,5,96,22,60,29,7,1
7,5,41,36,67,76,4,1
1,4,19,40,73,23,4,0
20,5,20,51,35,62,9,1
0,1,79,82,67,119,5,0
14,5,71,81,40,118,5,0
0,2,56,48,75,82,7,1
4,3,43,26,22,62,1,0
15,3,26,5,27,86,3,1
18,5,63,73,84,101,2,0
3,6,85,65,22,70,6,1
2,0,94,23,33,75,6,0
16,0,49,37,66,62,1,1
16,6,28,27,38,43,6,0
11,6,76,27,65,115,2,1
13,6,91,65,63,53,4,1
20,1,62,60,14,78,6,0
5,0,73,45,44,21,3,0
2,6,92,68,28,21,3,0
8,1,56,74,64,29,3,0
4,4,15,73,86,42,4,1
23,1,25,42,78,34,9,0
16,0,81,58,53,95,4,0
13,5,27,1,87,36,4,1
20,4,61,14,47,101,4,1
2,0,57,36,71,33,7,1
0,1,52,70,31,100,5,0
19,2,48,19,82,98,2,0
20,3,58,97,49,95,7,0
22,0,21,34,35,35,3,0
0,6,19,33,14,51,1,1
2,1,80,85,63,42,9,0
17,6,64,30,95,53,5,0
9,6,10,86,58,117,1,1
21,6,58,18,12,35,1,1
2,6,45,67,47,53,1,1
7,6,30,23,23,90,9,0
13,4,46,83,56,52,8,0
23,0,33,38,23,87,6,1
17,0,64,91,84,62,6,0
14,3,34,53,82,83,6,0
21,1,16,38,47,90,4,1
22,2,90,16,73,37,5,1
1,4,80,18,53,87,3,1
9,1,80,47,79,80,3,0
1,4,33,34,74,94,7,0
16,0,20,31,34,39,5,0
7,6,82,46,25,30,8,1
0,3,21,46,24,98,5,0
8,3,44,63,90,65,4,0
10,5,72,45,12,83,3,1
21,2,77,34,76,100,2,0
15,3,66,93,46,117,3,0
6,6,22,16,90,95,7,1
9,0,32,41,64,47,8,1
22,2,92,28,47,67,5,1
2,1,48,69,72,54,1,1
17,6,97,16,10,27,3,1
23,6,89,80,80,110,4,0
12,3,21,13,99,41,4,1
6,2,43,23,28,43,1,1
3,0,80,56,61,85,9,1
12,5,84,49,39,114,4,0
19,4,40,56,64,105,2,0
0,4,71,60,23,83,9,1
7,0,22,38,22,84,4,0
13,0,40,54,93,33,4,0
15,4,11,95,99,44,6,0
13,5,24,35,36,119,8,1
11,2,66,36,98,119,5,0
18,4,84,13,18,22,8,0
22,0,43,26,50,24,1,1
14,3,77,82,57,84,4,1
1,1,84,30,21,73,1,0
1,5,38,72,19,38,3,1
22,6,75,80,15,116,7,1
21,5,25,82,43,73,1,1
18,3,48,43,61,113,5,1
21,3,86,67,50,95,1,0
21,6,46,47,92,29,6,1
16,0,90,56,15,117,9,1
19,4,30,74,11,35,3,0
9,2,53,21,24,65,6,1
5,5,28,3,26,48,4,0
14,6,80,80,25,34,6,1
21,5,17,71,37,67,2,0
10,3,86,45,94,30,4,1
4,4,75,58,81,53,7,1
0,5,50,33,19,55,6,0
7,2,84,10,19,49,9,0
20,3,97,30,19,118,7,0
11,2,79,10,82,92,1,0
11,4,70,55,37,101,6,0
4,5,35,37,33,38,3,1
6,1,80,20,28,87,8,0
3,5,92,93,77,89,1,1
5,4,79,9,65,52,2,0
12,5,38,25,76,115,3,0
19,6,75,90,51,99,3,1
14,5,28,7,21,94,7,1
2,0,77,7,27,41,8,1
22,5,67,59,32,55,9,1
7,5,79,71,93,42,7,0
19,2,66,33,15,82,8,1
15,1,46,15,62,45,6,0
12,2,70,12,51,79,2,0
17,2,39,86,75,114,1,0
9,3,80,75,39,112,3,1
18,0,82,90,18,24,9,1
16,2,34,21,51,73,7,1
23,6,74,95,43,57,2,1
18,4,15,26,49,81,1,1
22,6,27,63,97,44,2,1
4,4,19,1,26,117,3,0
20,5,20,96,38,31,6,1
22,3,74,25,59,41,9,0
8,0,86,91,85,28,8,0
11,6,93,82,58,103,9,1
20,0,74,68,82,48,8,1
0,6,61,96,70,63,7,1
0,5,76,83,92,112,6,1
14,4,91,29,55,46,8,0
1,1,87,7,55,74,6,1
21,3,40,37,26,100,2,1
15,6,26,60,75,24,9,0
7,6,64,80,14,71,9,0
12,5,45,64,63,32,3,1
20,3,35,66,25,61,9,0
0,4,62,45,90,34,2,1
15,4,26,89,16,98,3,1
6,6,95,94,17,37,6,0
4,1,34,71,81,69,4,0
21,1,11,42,96,21,8,1
22,0,95,58,91,106,1,1
2,3,14,45,47,32,6,1
11,3,13,71,63,87,2,0
15,4,45,34,85,66,6,0
18,0,15,38,24,108,1,1
4,5,30,91,59,94,2,1
21,3,86,50,65,69,9,0
13,0,98,3,18,31,6,1
4,0,35,79,17,32,8,0
14,6,64,76,28,28,7,1
16,4,48,83,60,78,9,0
13,0,93,50,81,64,9,1
19,1,42,4,66,89,4,1
4,1,23,54,77,62,7,1
11,2,65,19,40,93,5,0
15,4,90,23,12,42,7,1
15,6,30,35,92,98,4,1
20,5,55,33,52,64,1,1
6,2,25,53,38,42,4,1
3,1,25,33,19,53,3,1
0,6,93,82,21,35,9,1
4,2,38,16,55,82,5,0
22,4,17,4,39,70,4,0
9,6,97,88,91,51,8,1
21,4,12,17,97,57,5,1
4,0,98,54,41,75,3,0
3,3,28,52,82,88,2,0
1,0,75,49,56,36,8,1
19,4,88,71,97,105,2,0
9,6,95,90,72,58,8,1
18,1,83,78,35,60,5,1
0,5,91,44,12,67,8,0
23,1,31,12,32,101,5,1
4,6,55,15,84,47,1,1
12,0,22,85,83,96,2,1
3,5,42,83,59,69,6,1
15,6,14,12,45,20,3,0
23,4,99,19,22,69,8,0
15,1,86,65,38,38,5,0
22,4,36,98,47,117,3,1
1,5,87,46,86,78,7,0
16,5,33,18,99,87,8,0
19,1,76,44,93,86,4,0
23,4,72,36,14,60,9,1
11,2,57,53,29,29,6,1
17,4,72,5,87,47,1,1
2,5,87,13,23,53,5,1
0,4,21,3,17,58,5,1
0,6,37,85,57,102,7,0
18,0,53,54,22,75,7,0
10,2,52,99,33,71,6,0
4,3,26,33,88,119,8,1
11,6,49,26,74,22,2,0
2,0,58,6,95,42,7,0
0,3,94,2,43,36,7,1
0,1,66,46,60,90,4,1
7,3,96,96,12,45,2,1
9,6,93,1,99,37,4,1
10,4,73,79,87,65,4,0
11,6,84,24,67,89,6,1
12,3,66,59,81,50,7,1
11,5,83,78,64,112,3,1
13,0,83,23,89,28,1,0
1,0,79,14,51,54,3,0
18,3,97,94,30,100,9,0
17,0,85,13,19,79,1,0
2,5,52,53,66,95,8,0
22,6,32,77,34,82,2,1
16,0,36,5,65,119,6,1
7,3,67,77,47,71,3,1
9,2,46,80,95,67,7,0
1,2,15,17,70,80,2,1
18,1,74,19,56,43,4,0
8,0,15,61,63,93,9,0
6,6,59,80,55,77,6,1
3,3,31,79,77,83,4,1
20,0,97,39,13,49,2,1
17,4,34,38,75,48,9,1
12,5,88,51,52,29,4,0
10,0,99,31,71,58,9,0
23,0,81,72,94,74,2,0
3,2,60,26,94,47,7,1
20,5,97,51,94,37,5,0
3,3,57,96,13,60,8,1
9,0,79,62,74,100,8,0
4,2,74,73,71,94,4,1
8,1,69,62,99,84,4,0
23,5,55,16,11,100,8,1
2,2,45,48,18,119,3,1
16,2,67,99,66,119,7,0
2,6,85,80,54,65,8,1
15,2,47,81,27,79,8,0
3,6,20,22,57,28,4,1
17,0,21,97,51,64,9,0
16,0,51,71,50,79,4,1
6,1,48,12,84,47,8,0
23,4,80,22,98,116,6,0
22,4,20,56,99,22,5,0
4,4,45,61,67,70,4,0
11,6,61,53,51,27,5,1
16,5,40,19,44,89,1,1
22,5,42,85,47,78,7,0
12,1,22,51,76,80,8,0
22,5,27,22,50,77,9,1
2,4,50,34,59,89,3,0
8,4,67,66,95,112,9,0
16,2,65,33,81,31,5,0
16,5,33,32,88,28,6,1
19,0,82,45,54,68,1,0
15,0,40,80,80,102,9,1
21,2,64,44,28,36,9,1
12,2,19,18,26,73,6,1
18,2,69,93,74,63,8,0
16,0,11,86,86,51,4,0
3,4,24,14,65,54,5,0
11,2,12,77,50,97,5,1
8,1,52,65,51,68,7,0
18,6,40,38,15,73,7,0
11,2,79,17,78,35,7,1
8,6,76,69,84,104,5,1
6,3,65,58,82,31,4,1
13,2,72,31,49,107,8,0
19,0,84,20,50,117,1,0
18,5,24,39,18,27,1,0
14,2,19,91,17,40,6,1
15,5,47,26,53,67,2,0
20,3,56,1,67,27,3,1
4,1,66,96,76,47,4,0
2,5,59,79,22,99,2,0
11,6,80,38,28,29,7,0
19,4,24,85,58,71,1,0
20,2,27,55,89,34,3,0
3,3,91,12,91,23,2,1
20,3,97,55,87,109,9,1
22,5,11,65,39,98,8,0
15,1,93,77,75,119,3,0
6,0,52,55,86,115,5,1
12,2,35,27,68,81,3,0
20,3,80,63,62,23,6,1
9,1,47,70,61,60,5,0
6,4,51,81,90,92,2,0
13,3,14,63,40,118,8,1
4,1,20,55,24,74,6,1
2,0,74,40,29,47,3,0
22,0,43,99,14,66,1,1
10,3,10,40,16,28,5,1
10,6,92,99,27,21,2,0
17,3,11,3,65,86,2,0
14,5,94,56,84,67,9,0
11,2,29,29,99,88,7,0
8,1,70,87,54,93,6,1
9,3,96,83,37,47,1,0
11,2,30,45,59,98,2,0
16,5,97,55,11,33,7,1
5,2,77,30,93,65,3,1
6,3,21,87,77,106,2,0
13,0,31,6,86,32,6,0
12,1,29,89,33,35,8,1
7,1,91,76,57,113,8,0
9,0,10,53,54,59,2,1
8,6,39,7,67,91,6,1
17,3,33,54,45,100,5,1
1,1,23,68,11,49,7,0
4,3,45,43,27,100,4,0
4,5,78,12,58,118,2,1
5,3,84,92,17,84,3,0
18,2,33,19,67,77,9,1
7,0,69,77,24,107,8,0
15,6,64,31,26,67,9,0
12,3,86,59,32,68,5,1
0,6,89,49,75,108,5,0
21,6,33,26,79,21,7,0
19,5,86,24,36,108,7,0
16,4,33,51,46,33,1,1
6,0,63,67,58,116,5,0
12,6,35,20,73,36,8,1
3,1,75,17,43,50,7,0
3,2,89,38,27,29,2,0
5,1,47,14,73,89,8,0
18,5,74,52,83,108,2,1
11,5,84,37,53,56,1,1
21,1,60,47,26,83,3,1
6,0,44,51,68,49,3,0
9,1,52,87,22,53,6,0
18,3,38,71,61,37,3,0
6,1,46,27,69,107,7,1
2,2,90,84,51,82,8,0
12,2,67,15,73,68,3,0
12,4,63,15,75,75,9,1
17,2,48,34,43,110,1,0
19,1,51,16,96,77,3,1
7,2,37,72,80,46,3,0
8,0,38,98,73,74,7,0
6,6,52,51,42,104,5,0
0,2,12,92,21,38,4,0
2,3,19,81,85,42,2,0
12,0,68,11,28,66,7,1
16,4,23,82,18,98,3,0
23,3,85,47,83,85,7,0
0,1,56,21,26,118,7,1
5,6,51,48,59,70,2,1
20,1,41,51,48,103,7,1
5,6,41,78,50,47,6,0
11,6,51,0,19,76,4,1
12,1,41,65,21,77,5,1
12,3,35,63,88,34,8,1
14,3,10,7,24,35,5,1
20,6,65,85,37,116,3,0
15,3,11,24,13,66,2,1
21,6,90,65,45,82,6,1
20,6,39,72,74,31,6,0
10,0,80,72,56,62,7,0
4,5,61,76,90,103,8,1
3,0,18,69,48,48,4,0
2,1,31,93,47,68,8,1
18,5,43,78,53,22,1,0
19,2,58,50,60,88,6,0
17,1,10,52,94,79,6,1
14,4,82,14,35,85,3,0
8,0,93,49,45,106,9,0
16,3,62,70,78,109,5,1
13,0,92,74,10,45,1,1
14,3,49,37,62,90,7,0
0,5,54,39,15,93,3,0
20,4,77,65,46,88,4,1
21,5,18,38,11,66,6,0
21,4,31,73,78,95,8,1
2,0,27,16,99,115,4,0
15,3,85,6,50,61,9,0
22,5,52,38,60,50,8,1
10,4,48,67,56,41,6,1
11,6,82,34,22,36,7,0
9,1,15,50,85,103,8,0
15,1,92,46,78,39,2,0
7,5,57,35,75,27,5,0
5,3,16,63,68,117,7,1
11,6,89,94,77,68,8,0
23,5,78,88,68,106,5,0
20,0,25,12,19,57,3,1
7,4,10,17,22,72,6,1
3,0,46,20,11,47,5,1
7,1,92,64,99,96,8,0
17,4,46,99,24,48,9,1
4,5,90,7,55,91,9,1
8,0,73,47,66,30,6,0
3,2,99,84,19,66,4,1
21,3,95,42,31,64,4,1
16,6,71,52,98,37,9,0
8,6,81,84,88,69,4,1
0,3,70,26,86,108,8,0
20,2,42,18,17,68,9,1
19,1,75,22,30,41,5,1
12,4,39,49,94,64,6,1
15,3,29,50,31,80,3,0
12,2,69,42,54,118,5,1
13,5,91,98,49,112,5,1
2,6,83,50,31,40,2,1
5,2,33,68,39,90,6,1
17,1,13,40,71,80,9,0
18,1,46,71,82,95,7,1
4,0,13,10,54,55,8,1
14,3,86,79,44,43,2,1
1,0,98,87,91,51,9,1
9,6,86,84,51,110,3,0
23,2,27,51,14,115,5,0
17,4,97,22,36,78,7,0
12,4,75,48,79,115,4,1
4,1,57,37,71,115,7,0
22,4,42,46,41,109,8,0
23,4,67,71,17,94,4,0
0,6,92,6,94,101,5,1
21,4,82,65,27,24,3,1
0,2,37,93,87,35,5,0
17,4,44,76,24,30,8,1
14,5,19,61,35,54,3,1
16,4,74,86,62,94,5,1
10,4,51,28,53,61,1,0
20,0,94,37,41,106,2,1
21,2,18,83,37,117,3,1
16,1,69,32,48,100,1,0
12,0,24,28,41,29,9,1
0,3,66,78,86,101,9,1
1,2,78,22,88,27,5,0
8,5,31,2,27,45,4,0
2,2,73,92,79,22,5,1
0,3,50,44,20,78,4,1
20,3,96,7,41,107,5,1
15,3,80,85,29,22,7,0
22,6,65,28,49,57,8,0
5,1,32,1,17,21,2,1
16,4,34,49,44,118,4,1
4,2,15,64,78,36,8,1
4,6,43,19,87,92,7,1
5,4,72,51,30,55,9,0
2,4,18,84,33,105,5,1
20,5,69,36,26,114,6,0
22,3,58,71,27,117,8,0
4,1,60,26,21,107,5,0
20,5,69,46,25,92,9,1
4,0,79,98,13,21,4,0
9,6,46,5,98,104,8,0
9,6,40,59,43,53,3,1
18,1,50,44,55,46,5,1
16,4,71,43,84,56,8,0
20,6,67,82,86,90,7,1
13,1,23,17,40,41,1,0
8,6,45,64,34,87,4,1
13,6,45,24,83,33,2,0
0,3,88,26,33,117,2,0
18,0,17,6,74,42,7,1
12,3,35,43,34,63,3,1
12,0,45,28,37,108,3,1
3,6,57,94,45,84,6,0
0,5,94,43,91,98,6,0
16,4,37,35,15,115,1,1
7,6,77,18,75,97,1,0
1,0,71,5,76,80,6,1
7,0,89,24,81,104,7,0
6,0,95,30,57,74,9,0
1,6,85,8,92,90,4,1
21,1,89,83,79,119,6,1
21,5,60,73,87,104,3,0
2,1,51,36,76,69,4,0
17,4,38,26,57,31,9,0
11,6,91,12,74,98,1,0
0,0,19,40,53,34,5,1
21,5,48,65,72,36,7,1
11,5,91,84,55,53,3,1
4,2,10,96,28,54,2,0
16,4,48,23,73,58,2,0
15,5,30,43,92,97,1,0
14,6,74,97,82,74,5,0
22,0,24,59,80,78,3,1
14,0,13,8,59,24,7,1
4,5,69,1,72,49,1,1
20,1,70,55,50,23,9,0
13,4,29,29,16,34,2,1
1,0,19,21,18,54,8,1
10,5,96,74,13,93,4,1
18,0,43,80,98,74,6,1
6,5,57,99,58,85,9,0
5,4,42,12,85,79,7,0
1,5,70,70,15,43,8,1
5,2,19,15,91,111,7,1
17,5,63,96,30,41,2,1
1,5,93,44,24,63,9,1
17,6,74,64,76,51,1,1
14,4,86,10,75,114,2,0
18,6,10,69,65,102,3,1
1,5,14,19,77,70,3,1
19,4,89,98,41,104,4,1
5,2,24,62,75,22,5,0
0,4,37,89,38,89,6,0
23,0,32,11,75,51,1,0
14,6,26,61,43,21,8,0
22,4,22,93,36,107,6,0
9,2,23,91,69,78,9,1
18,3,20,90,48,110,5,1
16,5,37,41,53,92,7,0
4,4,51,82,91,96,4,0
3,5,70,68,45,33,6,0
9,1,73,57,28,70,6,1
23,0,40,4,54,30,4,0
16,6,90,26,93,97,6,0
9,0,82,27,30,99,8,0
16,1,19,25,32,29,5,1
19,1,17,90,98,103,2,0
23,6,30,48,36,99,9,1
4,4,86,20,81,77,4,1
1,1,68,0,28,53,4,1
5,3,59,91,50,99,7,1
20,5,78,57,35,97,6,1
1,5,79,78,37,72,4,0
12,2,39,54,73,47,6,1
10,1,26,80,77,37,3,1
10,1,84,25,89,45,7,1
15,3,29,83,60,26,6,0
10,0,57,24,83,64,3,1
18,0,82,76,57,117,1,1
14,5,11,32,19,64,5,1
22,5,46,88,82,90,2,0
22,4,10,71,48,116,7,1
15,6,13,68,28,54,7,1
10,3,63,5,73,71,4,1
21,6,34,22,28,40,6,1
15,6,12,29,85,47,1,1
7,2,18,77,71,115,2,1
3,6,95,53,22,63,6,1
7,2,96,86,34,99,2,0
3,6,85,10,98,75,4,0
23,3,83,30,51,29,4,0
2,2,43,5,48,42,9,1
2,0,52,10,39,67,7,0
17,2,83,76,14,71,7,1
18,2,31,11,90,34,1,0
18,3,79,65,27,74,5,0
20,3,11,52,30,62,3,1
4,2,75,98,95,69,3,1
17,1,41,35,59,25,6,1
9,3,25,16,15,52,4,1
21,4,85,27,59,81,8,1
20,4,10,91,89,74,4,0
5,0,81,21,75,58,8,1
0,6,57,6,10,31,4,0
4,2,59,14,66,119,3,0
8,1,22,95,39,50,5,1
11,0,24,10,67,93,5,0
13,2,62,23,61,72,1,0
